|                |          t1 | p-value (t1) |      t2 | p-value (t2) |
+----------------+-------------+--------------+---------+--------------+
|         mardia | 19474.04977 |          1.0 | -9.3104 |          0.0 |
|        royston |    307.9045 |          0.0 |         |              |
|  henze-zirkler |       200.0 |          0.0 |         |              |
| doornik-hansen |         nan |          nan |         |              |
|         energy |         nan |          nan |         |              |
------------------------------------------------------------------------------------------------------------
  col        jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
------------------------------------------------------------------------------------------------------------
    1     3.234        0.19849   14.11544     0.00086***   0.17525        0.08181   0.94009       0.01359*  
    2   3.89607        0.14255    9.47502      0.00876**   0.18831        0.05019   0.92694      0.00424**  
    3   3.39383        0.18325    7.60736       0.02229*   0.20588       0.02458*   0.93344      0.00748**  
    4   3.72584        0.15522   18.58354      9e-05****    0.1701        0.09825   0.93559      0.00905**  
    5   3.21443        0.20045    8.68981       0.01297*   0.17436        0.08449   0.94454       0.02045*  
    6   3.17614        0.20432    7.12912       0.02831*   0.16113        0.13336   0.94609       0.02362*  
    7   5.11613        0.07745   48.23983        0.0****   0.16672        0.11044   0.89204     0.00027***  
    8   3.34679        0.18761   13.19886      0.00136**   0.18327        0.06086   0.94376       0.01902*  
    9   3.26464        0.19548    10.2343      0.00599**    0.1725        0.09028   0.93992       0.01338*  
   10   4.67098        0.09676   39.03881        0.0****   0.18077        0.06683   0.90718     0.00084***  
   11   4.40223        0.11068   33.77185        0.0****   0.18488        0.05726   0.91012      0.00106**  
   12     3.525        0.17161   11.81181      0.00272**   0.20377       0.02687*   0.93761       0.01085*  
   13   2.93085        0.23098    3.76428        0.15226   0.21229       0.01864*   0.95241       0.04287*  
   14   2.25609        0.32367      4.941        0.08454   0.16694        0.10963   0.95733        0.06869  
   15   2.95128        0.22863    9.84936      0.00727**   0.18558        0.05576   0.94607       0.02358*  
   16   3.53363        0.17088   16.02951     0.00033***    0.1696        0.09999   0.93656      0.00987**  
   17   2.72326        0.25624    9.40787      0.00906**   0.18691        0.05298   0.95519        0.05596  
   18   3.92731        0.14034   22.09231      2e-05****   0.16768        0.10685   0.93381      0.00773**  
   19    2.6145        0.27056     8.4566       0.01458*   0.18753        0.05174   0.95975        0.08673  
   20   2.83249        0.24262    5.97175         0.0505   0.20837       0.02209*   0.95092       0.03721*  
   21   3.30952        0.19114   11.36298      0.00341**   0.17153        0.09342   0.94324       0.01814*  
   22   3.90364        0.14202   22.07957      2e-05****   0.16935        0.10087   0.92827      0.00475**  
   23   3.10687        0.21152    4.47004        0.10699   0.20193       0.02902*     0.951       0.03751*  
   24   2.19335        0.33398    4.25765        0.11898   0.17383         0.0861   0.95728        0.06841  
   25   4.59425        0.10055   34.28033        0.0****   0.17345        0.08728    0.9102      0.00106**  
   26    2.4555        0.29295     7.1559       0.02793*   0.17243        0.09049   0.95673        0.06486  
   27   4.19546        0.12273   14.67313     0.00065***   0.16544        0.11537   0.91771      0.00195**  
   28   2.72584        0.25591    9.42794      0.00897**   0.16428        0.12001   0.95105       0.03768*  
   29   3.49766        0.17398   15.76756     0.00038***   0.17409        0.08532   0.92532      0.00369**  
   30   2.52474        0.28298    6.16174       0.04592*   0.16752        0.10746   0.95513        0.05563  
   31   2.90218        0.23431    9.46213      0.00882**   0.18414         0.0589   0.94168       0.01571*  
   32   2.78211        0.24881    7.85246       0.01972*   0.17773        0.07477   0.95271       0.04414*  
   33   4.13843        0.12628   26.39024        0.0****   0.16732        0.10819   0.92145      0.00266**  
   34   2.60158        0.27232    8.19974       0.01657*   0.18697        0.05285   0.95977        0.08692  
   35   1.97489        0.37253    2.36386        0.30669   0.23624      0.00614**     0.963        0.11877  
   36   1.90447        0.38588    2.05148        0.35853   0.17227        0.09103   0.95614        0.06127  
   37   2.19177        0.33424    5.07968        0.07888   0.17612        0.07929   0.95121       0.03825*  
   38   4.00957        0.13469   23.21355      1e-05****   0.16653        0.11117   0.92786      0.00459**  
   39   4.56478        0.10204   38.24921        0.0****   0.16746        0.10769   0.90908     0.00097***  
   40   2.50912         0.2852    7.78013       0.02044*   0.16861        0.10348   0.95895        0.08034  
   41   4.29505        0.11677   24.74931        0.0****   0.16297        0.12544   0.91783      0.00197**  
   42   3.55019        0.16947   10.18116      0.00615**   0.16269        0.12663   0.93622      0.00958**  
   43   3.93744        0.13964   23.15054      1e-05****   0.18917       0.04854*   0.92721      0.00434**  
   44   3.42666        0.18026   16.34041     0.00028***   0.17774        0.07474   0.94357        0.0187*  
   45   4.47719        0.10661   30.16548        0.0****   0.17108        0.09494   0.91079      0.00111**  
   46   3.83026        0.14732    18.7726      8e-05****   0.17366        0.08662   0.93182      0.00648**  
   47   2.72299        0.25628    6.51126       0.03856*   0.17495        0.08272   0.95363       0.04817*  
   48   3.66289        0.16018   18.60746      9e-05****   0.18041        0.06775   0.92604      0.00392**  
   49   1.85797        0.39495    3.44884        0.17828   0.18664        0.05353   0.96094        0.09733  
   50   2.22978        0.32795    5.17244         0.0753   0.17985        0.06915   0.96276        0.11605  
------------------------------------------------------------------------------------------------------------
