|                |          t1 | p-value (t1) |       t2 | p-value (t2) |
+----------------+-------------+--------------+----------+--------------+
|         mardia | 15189.66709 |          1.0 | 47.85206 |          0.0 |
|        royston |    55.83563 |      0.25035 |          |              |
|  henze-zirkler |       200.0 |          0.0 |          |              |
| doornik-hansen |         nan |          nan |          |              |
|         energy |     3.70159 |          nan |          |              |
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-------------------------------------------------------------------------------------------------------------
    1    1.35967         0.5067    2.26294        0.32256   0.08671         0.8464   0.97582        0.39192  
    2     0.6571        0.71997    0.56381        0.75434   0.12132        0.42404   0.97058        0.24437  
    3    1.09729        0.57773    1.22545        0.54187   0.09611         0.7465    0.9671        0.17599  
    4    3.38603        0.18396    4.45594        0.10775    0.1038        0.63679   0.97133          0.262  
    5   12.06595       0.0024**   11.53378      0.00313**   0.13133        0.32682   0.92928      0.00519**  
    6    1.68679        0.43025    1.77498        0.41169   0.11814        0.45856   0.96982        0.22766  
    7    1.49776         0.4729    2.64233        0.26682    0.1699        0.09895   0.98114        0.60091  
    8    0.13438        0.93502    0.05195        0.97436   0.13258        0.31594   0.98602         0.8143  
    9    0.57572        0.74987    0.43252        0.80552   0.11925        0.44636   0.98823        0.89644  
   10    1.70159        0.42708    3.47101        0.17631   0.20156       0.02948*   0.97372        0.32568  
   11    4.92639        0.08516    5.99459       0.04992*   0.16438         0.1196   0.95807        0.07381  
   12    0.15371        0.92603    0.11837        0.94253   0.09738        0.72771   0.99049        0.95702  
   13     0.5219        0.77032    0.38844        0.82348   0.07358        0.94945   0.98643        0.83112  
   14      0.064        0.96851    0.09287        0.95463   0.10961        0.56031   0.99169        0.97747  
   15    1.34924        0.50935    1.34923        0.50935   0.13314        0.31108   0.98003        0.55334  
   16    1.11133        0.57369    1.16484        0.55855    0.1137        0.50993   0.97446        0.34799  
   17    0.35893        0.83572    0.16099        0.92266   0.08299         0.8812   0.97984        0.54522  
   18    0.41617        0.81214    0.30154        0.86004   0.10081        0.67831   0.97999        0.55174  
   19    2.06853        0.35549     2.1573        0.34005   0.08255        0.88512   0.97431        0.34321  
   20    1.48611        0.47566    1.52203        0.46719   0.12918        0.34619   0.97781        0.46384  
   21    0.38309        0.82568    0.95019        0.62183   0.10645        0.60116    0.9917        0.97755  
   22    1.87585        0.39144    3.80138        0.14947   0.10272         0.6516   0.96736        0.18044  
   23    0.75094        0.68697    0.64574        0.72407   0.09498        0.76328   0.97915        0.51667  
   24    0.89934        0.63784    0.87727        0.64492    0.0843        0.86945   0.98123        0.60503  
   25    3.99226        0.13586    4.01896        0.13406   0.06799        0.97494   0.96335        0.12278  
   26    0.14158        0.93166    0.54903        0.75994   0.09211        0.78996   0.99411        0.99692  
   27    1.66488        0.43499    2.30447        0.31593   0.09614        0.74603   0.97279         0.2995  
   28    0.97904        0.61292     1.0631        0.58769   0.09532        0.75816   0.97784        0.46493  
   29    0.89094        0.64052    1.03009        0.59747   0.09912        0.70241   0.97806        0.47348  
   30    1.61698        0.44553    3.18046        0.20388   0.12783        0.35879   0.97689         0.4294  
   31    0.65614        0.72031     0.7791        0.67736   0.10313        0.64601   0.97126        0.26017  
   32    9.50195      0.00864**   10.03814      0.00661**   0.21975       0.01336*   0.93359      0.00757**  
   33      1.544        0.46209    2.60476        0.27188   0.13166         0.3239    0.9772        0.44081  
   34     2.5056         0.2857    6.69136       0.03524*   0.10819        0.57851   0.95915        0.08191  
   35    0.10384        0.94941    0.58107        0.74786   0.08794        0.83414   0.98907        0.92211  
   36     0.4233        0.80925    0.22973        0.89149    0.0793        0.91162   0.98418        0.73578  
   37    2.11848        0.34672    3.05602        0.21697    0.1371        0.27866   0.97313        0.30879  
   38    0.85546        0.65199    0.75698        0.68489   0.07764         0.9238   0.98202        0.63951  
   39    0.68005        0.71175    0.58087        0.74794   0.11716        0.46964    0.9888        0.91435  
   40    5.88337        0.05278    6.81846       0.03307*   0.16363        0.12268   0.96705        0.17505  
   41    1.12449        0.56993    1.12471        0.56987   0.14857        0.19892    0.9804        0.56892  
   42    2.26941        0.32152    2.39982        0.30122   0.14557        0.21785   0.96201        0.10793  
   43    0.58518        0.74633    0.73402         0.6928   0.13251        0.31653   0.98521         0.7805  
   44    1.26589        0.53103    1.33372        0.51332   0.10198        0.66191   0.97891        0.50697  
   45    0.17353        0.91689    0.05906         0.9709   0.14165        0.24461   0.97898        0.50991  
   46     0.5256        0.76889    0.35056        0.83922   0.05592        0.99763   0.99261        0.98788  
   47    2.03979        0.36063    2.99191        0.22404   0.09753        0.72551   0.98155        0.61901  
   48    1.03591        0.59574    1.20437        0.54762   0.22167       0.01224*   0.96312        0.12016  
   49     1.1877         0.5522    1.21829        0.54382   0.09095        0.80258   0.97464        0.35364  
   50    1.75443        0.41594    2.44879        0.29394   0.06871         0.9723   0.97601        0.39844  
-------------------------------------------------------------------------------------------------------------
