+----------------+-------------+--------------+---------+--------------+
|                |          t1 | p-value (t1) |      t2 | p-value (t2) |
+----------------+-------------+--------------+---------+--------------+
|         mardia | 24953.63353 |          0.0 | 6.16495 |          0.0 |
|        royston |   127.65384 |          0.0 |         |              |
|  henze-zirkler |         1.0 |      0.28456 |         |              |
| doornik-hansen |    89.98058 |      0.75366 |         |              |
|         energy |     3.85478 |          0.0 |         |              |
+----------------+-------------+--------------+---------+--------------+
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-------------------------------------------------------------------------------------------------------------
    1    1.86558        0.39345    3.10756        0.21145   0.09525        0.30583   0.98782        0.49516  
    2    1.23162         0.5402    1.20207        0.54824   0.10634        0.19395   0.98798        0.50665  
    3    0.08188        0.95989    0.37675         0.8283   0.09835        0.27063   0.98053        0.14625  
    4   17.45006     0.00016***   13.06479      0.00146**   0.08291        0.47903   0.96572       0.01051*  
    5   16.57459     0.00025***   12.92552      0.00156**   0.14302       0.03011*   0.95586      0.00206**  
    6    0.62427        0.73188    1.07546        0.58407   0.08113        0.50843   0.98372        0.25578  
    7    4.08272        0.12985    8.31414       0.01565*   0.14416       0.02816*   0.96693       0.01292*  
    8    0.78272        0.67614    0.98115        0.61227   0.15279        0.0167*   0.98568        0.35537  
    9    0.49549        0.78056    0.47673        0.78792   0.13686       0.04278*   0.98818        0.52128  
   10    1.07912          0.583    0.97384        0.61452   0.10077        0.24529   0.98605        0.37693  
   11    9.05328       0.01082*    9.12022       0.01046*   0.11545         0.1285    0.9719       0.03096*  
   12    0.81313        0.66593    1.25008        0.53524   0.11377        0.13899   0.98941        0.61698  
   13    0.40178          0.818    0.77986        0.67711   0.11429        0.13568   0.98921        0.60083  
   14    1.87396        0.39181    2.28865        0.31844   0.12595        0.07668    0.9872        0.45148  
   15    4.44493        0.10834    5.07997        0.07887   0.12558        0.07817    0.9801        0.13542  
   16    4.74817         0.0931    5.39626        0.06733    0.1096        0.16805    0.9751        0.05493  
   17    0.20734        0.90152    0.58753        0.74545   0.10651        0.19254     0.987        0.43769  
   18    0.46598        0.79216    0.70546        0.70277   0.09834        0.27078   0.99481        0.97003  
   19    8.65167       0.01322*    8.92582       0.01153*   0.11909        0.10801   0.97045       0.02395*  
   20    0.27066        0.87343    0.60072        0.74055   0.11054        0.16106   0.99246        0.85337  
   21    3.35777        0.18658     3.5175        0.17226   0.12147        0.09611   0.98708        0.44276  
   22    1.67222        0.43339    1.85017         0.3965   0.10855        0.17607   0.97926        0.11638  
   23    0.98081        0.61238    1.52269        0.46704   0.08314        0.47535   0.99035        0.69299  
   24    2.52295        0.28324    2.83671        0.24211   0.10686        0.18962   0.98448        0.29097  
   25   21.67472      2e-05****    9.46254      0.00882**   0.09175         0.3496    0.9543      0.00161**  
   26    4.29078        0.11702    3.75392        0.15305   0.09905        0.26318   0.98709        0.44394  
   27    9.07238       0.01071*    9.19193       0.01009*   0.09704        0.28517   0.96847       0.01691*  
   28    0.59691        0.74196    0.96077        0.61855   0.06807        0.75742   0.98804        0.51114  
   29    0.63673        0.72734    0.48212         0.7858   0.07298        0.65722   0.98833        0.53322  
   30    2.89616        0.23502    4.99371        0.08234   0.13561       0.04584*   0.98108        0.16116  
   31    1.98742         0.3702    2.61666        0.27027   0.11171        0.15281   0.97335       0.04011*  
   32    9.59016      0.00827**    9.23826      0.00986**   0.14014       0.03553*   0.97259       0.03499*  
   33    1.71755        0.42368    2.70801         0.2582   0.09732        0.28198    0.9806        0.14788  
   34    1.21081        0.54585    1.40612        0.49507   0.09428        0.31757   0.98821        0.52347  
   35    8.26423       0.01605*    5.95165        0.05101   0.15155       0.01803*   0.97943        0.11995  
   36    0.94822        0.62244    1.42949        0.48932   0.11172        0.15274   0.98105        0.16046  
   37   10.85846      0.00439**    9.81931      0.00738**   0.14178       0.03234*   0.96612       0.01124*  
   38    1.51809        0.46811    1.84324        0.39787   0.08013         0.5254   0.98498        0.31667  
   39    0.35795        0.83613    0.17701         0.9153   0.10091        0.24389   0.98559        0.34987  
   40    6.57308       0.03738*    6.12979       0.04666*   0.13676         0.043*   0.97696        0.07679  
   41    1.00347        0.60548    1.07087        0.58541    0.1114        0.15496   0.98834        0.53376  
   42    0.51593        0.77262    0.38429        0.82519   0.08269        0.48265   0.98806        0.51258  
   43    1.30644        0.52037    1.83675        0.39917   0.09175        0.34957   0.98461        0.29738  
   44    4.95301        0.08404    5.58819        0.06117   0.11366        0.13969    0.9782        0.09611  
   45    0.23417        0.88951    0.06974        0.96573   0.12353        0.08673   0.98133        0.16868  
   46    0.59489        0.74271    0.86245        0.64971   0.08829        0.39697   0.98996        0.66112  
   47   10.96551      0.00416**    8.16129        0.0169*   0.12495        0.08073   0.97633        0.06864  
   48    2.86685        0.23849    3.28094        0.19389   0.12851        0.06718   0.97839        0.09954  
   49    0.66657        0.71656    0.96708         0.6166   0.08727        0.41168   0.98932        0.60975  
   50    0.73053        0.69401    0.60962        0.73726   0.10019        0.25127   0.99198         0.8201  
-------------------------------------------------------------------------------------------------------------
