                            t1   p-value (t1)          t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   18727.41662            1.0   -12.01963            0.0  
         royston     122.63179            0.0                             
   henze-zirkler         200.0            0.0                             
  doornik-hansen           nan            nan                             
          energy       3.70159            nan                             
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-------------------------------------------------------------------------------------------------------------
    1    1.97362        0.37276    4.41837        0.10979   0.09933        0.69943   0.97003        0.23213  
    2    2.16749        0.33833    2.35884        0.30746   0.11634        0.47899   0.96969        0.22491  
    3    0.37372        0.82956     0.8536         0.6526   0.14419        0.22699   0.96727        0.17891  
    4   23.69801      1e-05****   14.98814     0.00056***    0.1101         0.5541   0.94091       0.01464*  
    5   12.59631      0.00184**   10.09939      0.00641**   0.15241        0.17666   0.94276       0.01735*  
    6    0.33722        0.84484    0.49499        0.78075   0.08676        0.84593   0.98638         0.8291  
    7     2.8105        0.24531   10.01459      0.00669**   0.17476        0.08327   0.94868       0.03011*  
    8    3.38222        0.18431    4.08686        0.12958   0.20279       0.02799*   0.95998         0.0887  
    9    1.77527        0.41163     3.7957        0.14989    0.1558        0.15866   0.97053        0.24328  
   10      0.552        0.75881    0.49177        0.78201   0.11189        0.53188   0.98395        0.72554  
   11    3.68807        0.15818    4.26496        0.11854   0.13545        0.29187   0.96046        0.09289  
   12    1.55766        0.45894     2.1363        0.34364   0.12609        0.37552   0.97679        0.42595  
   13    0.11801         0.9427    0.02909        0.98556   0.08806        0.83291   0.98665        0.83975  
   14    0.54685        0.76077    1.29159        0.52424   0.13133        0.32679   0.98616        0.81992  
   15    5.08556        0.07865    6.21025       0.04482*   0.16901        0.10206   0.96111        0.09898  
   16    3.51113        0.17281    4.64311        0.09812    0.1337        0.30637    0.9648        0.14118  
   17    1.71095        0.42508    2.66002        0.26447   0.11174        0.53366    0.9745        0.34932  
   18    0.23209        0.89043    0.04414        0.97817   0.15711        0.15211   0.99067        0.96046  
   19    4.21829        0.12134    4.98937        0.08252   0.15346         0.1709   0.95516        0.05579  
   20    2.24966        0.32471    2.90078        0.23448   0.16054        0.13597   0.97198        0.27807  
   21    0.68394        0.71037    0.87533        0.64554   0.18084        0.06667   0.97752        0.45275  
   22    5.09153        0.07841    5.23361        0.07304   0.16735         0.1081   0.91789      0.00198**  
   23    2.75079        0.25274    3.44949        0.17822   0.11045        0.54969   0.96674        0.16999  
   24    5.30985         0.0703    6.41427       0.04047*   0.11383        0.50838    0.9645        0.13712  
   25    31.2069        0.0****   12.58053      0.00185**    0.1317        0.32353   0.92075      0.00251**  
   26    6.84479       0.03263*    6.21488       0.04472*   0.12905        0.34745   0.96878         0.2063  
   27    0.72445        0.69613    1.41968        0.49172   0.09979        0.69281    0.9864        0.82977  
   28    0.66109        0.71853    0.53727        0.76442   0.08722        0.84135   0.98176        0.62806  
   29     0.7175        0.69855    0.63066        0.72955   0.09252        0.78547   0.98632         0.8266  
   30    2.61453        0.27056    7.83414        0.0199*   0.16783        0.10631   0.96104        0.09827  
   31   15.48091     0.00043***   12.56754      0.00187**   0.14414        0.22736   0.94231       0.01664*  
   32   10.95818      0.00417**   10.44538      0.00539**   0.22719      0.00948**   0.94932         0.032*  
   33    0.50285        0.77769    0.32301        0.85086   0.21166       0.01916*   0.96151        0.10279  
   34    1.14215        0.56492    1.64133        0.44014   0.19775       0.03448*   0.98411        0.73299  
   35    3.48785        0.17483    4.19504        0.12276   0.14851        0.19931    0.9776        0.45575  
   36     0.0512        0.97472    0.36798        0.83195   0.14601        0.21498   0.97661        0.41945  
   37   11.11255      0.00386**    9.71152      0.00778**   0.16572        0.11429   0.95548        0.05754  
   38    0.20481        0.90266    0.04865        0.97597   0.12863        0.35127   0.98745        0.86962  
   39    0.65976        0.71901    0.68787        0.70898   0.17716        0.07635    0.9728        0.29979  
   40     8.4602       0.01455*     8.2435       0.01622*   0.15992         0.1388   0.96389         0.1293  
   41    0.74221        0.68997     0.6174         0.7344   0.11036        0.55084   0.98178        0.62916  
   42    1.09556        0.57823    1.04726        0.59236    0.1382        0.27009    0.9735        0.31941  
   43    2.48304        0.28894    7.59147       0.02247*   0.12917        0.34631   0.96278        0.11622  
   44      3.803        0.14934    4.61411        0.09955   0.13435         0.3009   0.95911        0.08156  
   45    0.15977        0.92322     0.3006        0.86045   0.11768        0.46372   0.97927        0.52153  
   46    0.35313        0.83814    0.59603        0.74229   0.07923        0.91213   0.99145        0.97397  
   47    9.97786      0.00681**    7.04162       0.02958*   0.17495        0.08272   0.94631       0.02411*  
   48    1.06867        0.58606    1.89222        0.38825   0.11499        0.49469   0.97412        0.33761  
   49    0.30385        0.85905    0.92327        0.63025   0.14727        0.20698   0.97444        0.34749  
   50    1.47557        0.47817    1.81614         0.4033   0.10691        0.59518   0.97616        0.40374  
-------------------------------------------------------------------------------------------------------------
