                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   167957.35927            1.0   -1.52154        0.12812  
         royston      126.71729          0.036                            
   henze-zirkler          400.0            0.0                            
  doornik-hansen            nan            nan                            
          energy            nan            nan                            
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-------------------------------------------------------------------------------------------------------------
    1    2.08509        0.35256    2.15004        0.34129   0.06878        0.74239   0.98396        0.26644  
    2    2.82837        0.24312    3.99508        0.13567   0.17582      0.00356**   0.98144        0.17177  
    3    0.00678        0.99661    0.10121        0.95065   0.07754        0.57113   0.99472        0.96716  
    4    6.70006       0.03508*    6.53282       0.03814*   0.10292        0.22436   0.96092      0.00468**  
    5    0.33545        0.84559    0.19339        0.90783   0.10921        0.17097   0.99169        0.79802  
    6    1.23587        0.53906    1.24146        0.53755   0.11243        0.14786   0.98724        0.45362  
    7    1.27453        0.52874    1.58665        0.45234   0.13102        0.05881   0.99122        0.76239  
    8    1.73264         0.4205    2.11525        0.34728   0.05567        0.91592   0.98788        0.49923  
    9    2.21215        0.33086    2.83266         0.2426   0.08121        0.50715   0.98364        0.25256  
   10    0.01701        0.99153     0.2085          0.901   0.12489        0.08096   0.98838        0.53636  
   11     0.0368        0.98177    0.01315        0.99345   0.11039        0.16221   0.99551        0.98614  
   12    0.92447        0.62987    1.02091        0.60022   0.09508        0.30793    0.9891         0.5921  
   13    0.03012        0.98505    0.01822        0.99093    0.0775          0.572   0.98982        0.65033  
   14    2.16385        0.33894    2.81356        0.24493   0.08728         0.4115    0.9871        0.44406  
   15    0.84566        0.65519    0.77915        0.67734   0.06316        0.81982   0.99327        0.90379  
   16    0.53683        0.76459    1.01322        0.60253    0.0937        0.32463   0.99154        0.78662  
   17     0.0059        0.99705    0.15337        0.92618   0.06746        0.77036   0.99278        0.87436  
   18    0.97929        0.61284    1.48491        0.47594     0.099        0.26367   0.98976        0.64488  
   19    1.21724         0.5441    1.28903        0.52492   0.05413        0.93125   0.98179        0.18299  
   20    2.17518        0.33703    2.41569        0.29884   0.07241        0.66857   0.98148        0.17321  
   21    7.60219       0.02235*    7.86359       0.01961*   0.09627        0.29398    0.9787        0.10519  
   22    7.09052       0.02886*    7.46148       0.02398*   0.11857        0.11076    0.9656       0.01029*  
   23    2.23069         0.3278    2.74912        0.25295   0.05773         0.8929   0.98586         0.3658  
   24    0.14912        0.92815    0.35069        0.83917   0.06203        0.83625    0.9928        0.87591  
   25     0.5098        0.77499     0.3885        0.82345   0.07153         0.6861   0.99371        0.92694  
   26     2.8695        0.23818    6.63348       0.03627*   0.10321        0.22169   0.97969         0.1258  
   27    0.38568        0.82461    0.29706        0.86197   0.13799       0.04013*    0.9921        0.82825  
   28    0.16369        0.92141    0.26245        0.87702   0.08425        0.45765   0.98951        0.62532  
   29    0.09273        0.95469    0.35813        0.83605   0.11013        0.16408   0.98041         0.1431  
   30    0.92237        0.63053    1.29015        0.52462   0.05639        0.90816   0.99326        0.90319  
   31    0.01825        0.99092    0.16692        0.91993   0.08381        0.46452   0.98953        0.62631  
   32    0.59405        0.74303    0.45188        0.79776   0.05556        0.91704   0.98051        0.14568  
   33    1.18371         0.5533    1.41674        0.49245   0.06985        0.72023   0.99062        0.71459  
