                             t1   p-value (t1)          t2   p-value (t2)  
---------------------------------------------------------------------------
          mardia   145673.03705            1.0   -31.30128            0.0  
         royston     1159.72503            0.0                             
   henze-zirkler          400.0            0.0                             
  doornik-hansen            nan            nan                             
          energy        5.26878            nan                             
------------------------------------------------------------------------------------------------------------
  col        jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
------------------------------------------------------------------------------------------------------------
    1   7.02592       0.02981*   53.44723        0.0****   0.16924      0.00567**   0.94155     0.00024***  
    2    7.7092       0.02118*   67.73561        0.0****   0.17761      0.00313**   0.92792      4e-05****  
    3   5.96247        0.05073   32.37531        0.0****   0.17051      0.00519**   0.95445      0.00165**  
    4   5.81114        0.05472   30.34349        0.0****   0.16163      0.00947**   0.95536       0.0019**  
    5   6.42772        0.0402*   40.93687        0.0****   0.16541      0.00736**   0.94204     0.00026***  
    6   5.90417        0.05223   32.10351        0.0****   0.16195      0.00928**   0.95478      0.00174**  
    7   5.83108        0.05417   25.39013        0.0****   0.18493      0.00182**   0.95528      0.00188**  
    8   6.76774       0.03392*   41.99646        0.0****   0.16091      0.00993**   0.93925     0.00017***  
    9   3.64058        0.16198    10.0461      0.00658**   0.18862      0.00137**   0.96693       0.01293*  
   10   7.92494       0.01902*   61.05292        0.0****   0.17298      0.00436**   0.92884      4e-05****  
   11   7.02449       0.02983*   46.65969        0.0****   0.16406      0.00806**   0.94041      0.0002***  
   12   7.14966       0.02802*   55.36577        0.0****   0.15942       0.01095*   0.93416      9e-05****  
   13   5.75565        0.05626   26.96675        0.0****   0.16008       0.01049*    0.9552      0.00186**  
   14   5.57224        0.06166   27.12502        0.0****   0.17276      0.00443**   0.95747      0.00267**  
   15   4.81591           0.09   17.77592     0.00014***   0.17184      0.00473**   0.95846      0.00313**  
   16   4.16141        0.12484     13.899     0.00096***   0.16111       0.0098**   0.96435      0.00831**  
   17   6.98329       0.03045*   48.30881        0.0****   0.18451      0.00188**   0.93836     0.00015***  
   18    6.3617       0.04155*   38.38788        0.0****   0.16659       0.0068**   0.94603     0.00046***  
   19   7.91622        0.0191*   63.36875        0.0****   0.16545      0.00734**   0.93084      6e-05****  
   20   4.04784        0.13214    12.7187      0.00173**   0.17073      0.00511**   0.96566       0.01039*  
   21   7.35464       0.02529*   58.14185        0.0****   0.16227      0.00908**     0.939     0.00017***  
   22   6.07297         0.048*   33.00689        0.0****   0.16707      0.00658**   0.94804     0.00062***  
   23   7.33426       0.02555*   55.36931        0.0****   0.17196      0.00469**   0.93773     0.00014***  
   24   5.14938        0.07618   21.21639      2e-05****   0.16174       0.0094**   0.95769      0.00276**  
   25   6.47193       0.03932*   25.31351        0.0****   0.17169      0.00478**   0.94853     0.00066***  
   26   5.48171        0.06452   26.39349        0.0****   0.16231      0.00906**   0.95074     0.00093***  
   27   7.45322       0.02407*   60.76917        0.0****   0.16264      0.00886**   0.93473      9e-05****  
   28   6.85484       0.03247*   50.16537        0.0****   0.16208       0.0092**   0.94525     0.00041***  
   29   6.49698       0.03883*   41.46217        0.0****   0.16052       0.01019*   0.94345     0.00031***  
   30   6.28695       0.04313*   38.27364        0.0****   0.16919      0.00569**   0.95099     0.00096***  
   31   6.30273       0.04279*   20.07383      4e-05****   0.16288      0.00872**   0.94125     0.00023***  
   32   6.57551       0.03734*   43.15852        0.0****   0.18044      0.00255**   0.93729     0.00013***  
   33   5.98179        0.05024   32.02428        0.0****   0.17024      0.00529**   0.95192      0.00111**  
   34   6.54929       0.03783*   35.51091        0.0****   0.16602      0.00707**   0.94679     0.00051***  
   35   6.42789        0.0402*   26.50049        0.0****   0.16317      0.00856**   0.94718     0.00054***  
   36   4.19417        0.12281   12.73053      0.00172**   0.16759      0.00635**   0.96269      0.00628**  
   37   4.74222        0.09338   18.33352     0.0001****   0.16844      0.00599**   0.96143      0.00509**  
   38   5.51064        0.06359   20.31601      4e-05****   0.16653      0.00682**   0.94086     0.00022***  
   39    7.4986       0.02353*   67.78371        0.0****   0.17491       0.0038**   0.93147      6e-05****  
   40   5.62601        0.06002   22.53925      1e-05****   0.16236      0.00903**   0.95791      0.00286**  
   41   8.13929       0.01708*   84.85524        0.0****   0.16237      0.00902**   0.92461      2e-05****  
   42   6.24854       0.04397*   20.17721      4e-05****   0.16414      0.00802**   0.94684     0.00052***  
