                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   186466.93692            0.0   13.57991            0.0  
         royston      301.84558            0.0                            
   henze-zirkler          400.0            0.0                            
  doornik-hansen            nan            nan                            
          energy            nan            nan                            
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-------------------------------------------------------------------------------------------------------------
    1    0.22367        0.89419     0.6178        0.73425   0.09945        0.25892   0.99046        0.70146  
    2    0.61541        0.73513    0.61839        0.73404   0.12084        0.09915   0.99201        0.82171  
    3    3.03624        0.21912    3.36722         0.1857   0.13399        0.05012    0.9763        0.06826  
    4    6.60811       0.03673*     6.8368       0.03276*   0.12356        0.08661   0.96236      0.00594**  
    5    0.80451        0.66881    1.31309        0.51864   0.13512       0.04709*   0.98725        0.45445  
    6    0.77541        0.67861    0.75347         0.6861   0.13113        0.05847   0.98636        0.39613  
    7    0.40853        0.81525     0.4081        0.81542    0.1034        0.21992   0.98708        0.44279  
    8    0.63897        0.72652    0.50237        0.77788   0.11868        0.11018   0.97119       0.02727*  
    9   28.49518        0.0****   18.19572     0.00011***   0.11597        0.12537   0.96039      0.00429**  
   10    1.81951        0.40262    2.96007        0.22763   0.14889       0.02123*   0.97949         0.1212  
   11    6.36765       0.04143*    6.44634       0.03983*   0.09287        0.33513   0.98159        0.17635  
   12    0.73592        0.69215    1.19786         0.5494   0.09868        0.26711   0.98784         0.4963  
   13    1.11885        0.57154    1.63714        0.44106    0.1075        0.18441   0.98177        0.18204  
   14    0.86417        0.64915    1.03153        0.59704   0.10707         0.1879   0.99164        0.79445  
   15    5.17759        0.07511    5.65812        0.05907   0.09416        0.31901   0.97343       0.04066*  
   16    7.22248       0.02702*    5.39312        0.06744   0.15402       0.01547*   0.97305       0.03799*  
   17    3.02225        0.22066    3.07082        0.21537   0.08008         0.5263   0.98212        0.19379  
   18   10.85693      0.00439**   10.11296      0.00637**     0.119        0.10847   0.96294      0.00656**  
   19    2.17824        0.33651    2.59901        0.27267   0.11976        0.10455   0.97788        0.09074  
   20    3.06536        0.21596    3.69982        0.15725    0.1092        0.17107   0.98732        0.45921  
   21    19.9278      5e-05****   12.47402      0.00196**   0.12144        0.09627   0.96317      0.00681**  
   22     5.2609        0.07205    5.86278        0.05332   0.07707        0.57972   0.97963        0.12438  
   23    0.34587        0.84119    0.54442        0.76169   0.10065         0.2465   0.99398        0.93943  
   24    1.61212        0.44661    2.04233        0.36017    0.0784        0.55573   0.98632        0.39343  
   25    3.19152        0.20275    3.84083        0.14655   0.08868        0.39135   0.98536        0.33685  
   26    1.97819        0.37191    3.10275        0.21196   0.05434        0.92929   0.98579        0.36128  
   27    1.59699        0.45001    2.10901        0.34837   0.13542       0.04631*   0.98671        0.41853  
   28    2.50584        0.28567    3.08715        0.21362   0.13408       0.04985*   0.98632        0.39345  
   29    0.08842        0.95675    0.20041        0.90465   0.11124        0.15611    0.9865        0.40471  
   30    2.48421        0.28878     2.8809        0.23682   0.09639        0.29252   0.98891        0.57732  
   31    2.47714         0.2898    2.64431        0.26656    0.0919        0.34757   0.97955        0.12262  
   32    3.47534        0.17593    4.09793        0.12887   0.12116        0.09758   0.97105       0.02661*  
   33    1.58608        0.45247      1.551        0.46047   0.11529        0.12946   0.98631        0.39306  
   34    1.91676        0.38351    2.26758        0.32181   0.10447        0.21012   0.97754        0.08531  
   35    9.91958      0.00701**    8.18318       0.01671*   0.15056       0.01917*     0.954      0.00154**  
   36   10.58462      0.00503**    8.80267       0.01226*   0.10208        0.23242   0.97063       0.02472*  
   37    7.06452       0.02924*     5.6291        0.05993   0.10359        0.21814   0.98092         0.1566  
   38     1.2208        0.54313     1.1287        0.56873   0.09655        0.29076   0.98147        0.17288  
   39    6.01842       0.04933*    5.17565        0.07518   0.09523        0.30606   0.97371       0.04275*  
   40   20.02944      4e-05****   16.34354     0.00028***   0.11839         0.1117   0.95819      0.00299**  
   41    1.21219        0.54548    1.12026        0.57114   0.17652      0.00339**   0.97572        0.06147  
   42    5.99852       0.04982*    5.84261        0.05386   0.10744        0.18488   0.97966        0.12505  
   43     4.4389        0.10867    4.78516        0.09139   0.11021        0.16353   0.97645        0.07008  
   44     1.6148        0.44602    1.81036        0.40447   0.07622        0.59539   0.98542        0.34053  
   45     0.7337        0.69292    0.61712         0.7345   0.12251        0.09129   0.99042         0.6982  
   46    0.93711        0.62591    0.86043        0.65037   0.10435        0.21121   0.98118        0.16407  
   47    6.55502       0.03772*    5.87822        0.05291   0.11645        0.12258    0.9737       0.04273*  
   48     0.3023        0.85972    0.18512         0.9116   0.11164         0.1533   0.99256        0.86009  
   49     24.025      1e-05****   17.85582     0.00013***    0.1056        0.20027   0.95841       0.0031**  
   50    2.96526        0.22704    3.61948         0.1637   0.12418        0.08391   0.98715        0.44751  
   51    1.18993        0.55158    1.69282        0.42895   0.10249         0.2285   0.98675        0.42092  
   52    0.06828        0.96643    0.04717        0.97669   0.13079        0.05954   0.99333        0.90707  
   53    0.17645        0.91556    0.18914        0.90976    0.0984        0.27015   0.98748        0.47091  
   54    6.34883       0.04182*    5.05231        0.07997   0.12291        0.08947   0.97268        0.0356*  
   55    5.06631        0.07941    5.56372        0.06192   0.12707        0.07237   0.97673        0.07376  
   56    0.22227        0.89482    0.08412        0.95881   0.09221        0.34362   0.99433        0.95389  
   57     0.7748        0.67882    1.13542        0.56682   0.06945        0.72861   0.99126        0.76554  
   58    3.69248        0.15783    3.55643        0.16894    0.1392       0.03749*   0.98052        0.14589  
   59    2.14644        0.34191    2.16798        0.33824   0.12348        0.08694   0.97792        0.09142  
   60    1.42939        0.48934    1.77672        0.41133   0.09981        0.25513   0.98564        0.35293  
   61    3.61132        0.16437     4.2958        0.11673   0.08065        0.51651   0.97814        0.09505  
   62    7.97219       0.01857*    7.64631       0.02186*    0.1143        0.13558   0.97311        0.0384*  
   63    3.10105        0.21214    3.77934        0.15112   0.09969        0.25636   0.98311        0.23032  
   64    0.71864        0.69815    0.59271        0.74353   0.05698        0.90156   0.99214        0.83125  
   65    4.94365        0.08443    5.48985        0.06425   0.14742        0.0232*   0.97737        0.08283  
   66    8.83812       0.01205*    8.82934        0.0121*   0.12995        0.06227   0.96798       0.01551*  
   67   13.98497     0.00092***    11.1644      0.00376**     0.133        0.05289   0.96574       0.01054*  
   68    1.31819        0.51732    1.79477        0.40763   0.10074        0.24567   0.98916        0.59689  
   69    0.58399        0.74677    1.02421        0.59923   0.10069        0.24609   0.99104        0.74832  
   70    1.34991        0.50918    1.93072        0.38085    0.1204        0.10131   0.97928        0.11681  
   71     5.0201        0.08126    5.57709        0.06151   0.14177       0.03237*   0.98378        0.25835  
   72    2.44476        0.29453    2.60906         0.2713   0.13538       0.04642*   0.96838       0.01663*  
   73    0.39672        0.82008    0.85598        0.65182   0.08527        0.44173   0.98952        0.62615  
   74       7.98        0.0185*    8.28757       0.01586*   0.10925        0.17069   0.96976        0.0212*  
   75    7.16098       0.02786*    6.70253       0.03504*   0.10671        0.19089   0.97472        0.05133  
   76    1.96429        0.37451    2.44978        0.29379   0.09154        0.35224   0.98423        0.27907  
   77    2.96778        0.22675    3.50893          0.173   0.10151        0.23799     0.987        0.43744  
   78      0.763        0.68284    1.16334        0.55897   0.07871         0.5503   0.99044        0.70031  
   79    1.35968         0.5067    1.89457        0.38779   0.08742        0.40948   0.98601        0.37451  
   80     1.1558        0.56107    1.05929        0.58881   0.10391        0.21522   0.99185        0.81001  
   81    1.38056        0.50144    1.46753         0.4801   0.13972       0.03639*   0.98536        0.33693  
   82    9.81307       0.0074**    9.85149      0.00726**   0.08632        0.42575   0.96621       0.01143*  
   83    0.38764         0.8238    0.55727        0.75681   0.13091        0.05916    0.9923        0.84243  
   84    3.38798        0.18378    3.23977        0.19792   0.07959        0.53487   0.98533        0.33532  
   85    4.44726        0.10822    4.79738        0.09084   0.11589        0.12589   0.98104         0.1602  
   86    3.85165        0.14576    3.74056        0.15408   0.12779        0.06974   0.98198        0.18903  
   87   12.82669      0.00164**   11.39319      0.00336**   0.10883        0.17386   0.95764      0.00274**  
