                             t1   p-value (t1)          t2   p-value (t2)  
---------------------------------------------------------------------------
          mardia   166556.78783            1.0   -13.17674            0.0  
         royston     7075.18911            0.0                             
   henze-zirkler            1.0            0.0                             
  doornik-hansen     9091.62336            0.0                             
          energy        5.28912            0.4                             
---------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)           k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
---------------------------------------------------------------------------------------------------------------
    1    60.7665        0.0****    774.60482        0.0****   0.15951        0.0****   0.95449        0.0****  
    2   58.34872        0.0****    644.95011        0.0****   0.16005        0.0****   0.95666        0.0****  
    3   59.14562        0.0****    687.03795        0.0****   0.15887        0.0****   0.95556        0.0****  
    4   59.47308        0.0****    663.94739        0.0****   0.15933        0.0****   0.95372        0.0****  
    5   62.44349        0.0****    882.67084        0.0****    0.1597        0.0****   0.95116        0.0****  
    6    65.0664        0.0****   1098.23772        0.0****   0.15908        0.0****   0.94967        0.0****  
    7   56.57959        0.0****    552.11709        0.0****   0.15941        0.0****   0.95794        0.0****  
    8   60.87394        0.0****    784.47356        0.0****   0.15901        0.0****   0.95321        0.0****  
    9   65.79306        0.0****   1231.37589        0.0****   0.15994        0.0****   0.94971        0.0****  
   10   63.14462        0.0****     938.6391        0.0****   0.16084        0.0****   0.95059        0.0****  
   11   62.03943        0.0****    840.77571        0.0****   0.15943        0.0****   0.95331        0.0****  
   12   61.95625        0.0****    775.33151        0.0****   0.15906        0.0****   0.95346        0.0****  
   13   63.63517        0.0****   1002.08778        0.0****   0.15875        0.0****   0.94931        0.0****  
   14   56.46053        0.0****    531.40019        0.0****   0.15974        0.0****   0.95772        0.0****  
   15   61.60049        0.0****    796.16529        0.0****   0.15924        0.0****   0.95293        0.0****  
   16   52.44537        0.0****    423.79217        0.0****   0.15873        0.0****   0.96076        0.0****  
   17   62.22601        0.0****     883.8642        0.0****   0.15884        0.0****    0.9522        0.0****  
   18   58.73648        0.0****    662.25806        0.0****   0.15982        0.0****   0.95603        0.0****  
   19   62.74773        0.0****    917.85783        0.0****   0.15881        0.0****   0.94995        0.0****  
   20    58.5805        0.0****    645.98064        0.0****   0.15968        0.0****   0.95497        0.0****  
   21   57.22985        0.0****     572.4981        0.0****   0.15883        0.0****   0.95552        0.0****  
   22   63.76395        0.0****    997.62112        0.0****    0.1604        0.0****   0.94977        0.0****  
   23   62.25546        0.0****    886.31405        0.0****   0.15954        0.0****   0.95355        0.0****  
   24   61.50215        0.0****    829.45685        0.0****   0.15959        0.0****   0.95274        0.0****  
   25   65.16893        0.0****   1150.92168        0.0****   0.15911        0.0****   0.94983        0.0****  
   26   57.10347        0.0****    588.39508        0.0****   0.16015        0.0****   0.95659        0.0****  
   27   56.87269        0.0****    576.86929        0.0****    0.1601        0.0****   0.95551        0.0****  
   28   64.06068        0.0****   1042.56176        0.0****    0.1589        0.0****   0.95056        0.0****  
   29   58.38608        0.0****    647.66289        0.0****   0.15903        0.0****   0.95614        0.0****  
   30   57.77437        0.0****    613.31646        0.0****   0.16007        0.0****   0.95625        0.0****  
   31   63.34838        0.0****    824.54652        0.0****    0.1627        0.0****   0.94928        0.0****  
   32   60.49677        0.0****    689.17932        0.0****   0.15919        0.0****   0.95334        0.0****  
   33   60.72735        0.0****     774.6068        0.0****   0.15969        0.0****   0.95365        0.0****  
   34   60.49588        0.0****    764.66749        0.0****   0.16002        0.0****   0.95431        0.0****  
   35   51.78015        0.0****    332.93523        0.0****   0.15959        0.0****    0.9618        0.0****  
   36   58.86834        0.0****    664.86309        0.0****     0.159        0.0****   0.95505        0.0****  
   37   56.74348        0.0****    564.54207        0.0****   0.15907        0.0****   0.95936        0.0****  
   38   55.68415        0.0****    528.53031        0.0****   0.15927        0.0****   0.95645        0.0****  
   39   60.26392        0.0****    697.12613        0.0****   0.15997        0.0****   0.95458        0.0****  
   40   57.84737        0.0****    589.94915        0.0****   0.15888        0.0****    0.9579        0.0****  
   41   60.45635        0.0****    723.38586        0.0****   0.15915        0.0****    0.9535        0.0****  
   42   58.80765        0.0****    627.72177        0.0****   0.15958        0.0****   0.95327        0.0****  
   43   61.32115        0.0****    816.16145        0.0****   0.15878        0.0****    0.9535        0.0****  
   44   61.44228        0.0****    811.24435        0.0****   0.15899        0.0****   0.95357        0.0****  
   45   62.46494        0.0****    860.51141        0.0****   0.16001        0.0****   0.95073        0.0****  
   46   59.77506        0.0****     714.1723        0.0****   0.15999        0.0****   0.95468        0.0****  
   47   61.23847        0.0****    795.54536        0.0****   0.15982        0.0****   0.95254        0.0****  
   48   62.51579        0.0****    894.53927        0.0****    0.1588        0.0****   0.95212        0.0****  
   49    59.9473        0.0****     717.1476        0.0****   0.16082        0.0****   0.95428        0.0****  
   50   73.20505        0.0****   3123.58606        0.0****   0.15879        0.0****   0.93942        0.0****  
   51   61.66342        0.0****    842.54818        0.0****   0.15894        0.0****   0.95073        0.0****  
   52   53.19844        0.0****    443.85238        0.0****   0.15888        0.0****   0.96156        0.0****  
   53   61.91432        0.0****    860.77905        0.0****   0.15918        0.0****   0.95396        0.0****  
   54   63.55904        0.0****    992.58463        0.0****   0.15985        0.0****   0.95074        0.0****  
   55   61.11081        0.0****    777.76004        0.0****   0.15905        0.0****   0.95248        0.0****  
   56   58.65787        0.0****    649.77105        0.0****   0.15913        0.0****   0.95616        0.0****  
   57   62.02326        0.0****    838.28722        0.0****   0.15915        0.0****   0.95303        0.0****  
   58   56.06489        0.0****    545.62016        0.0****   0.15874        0.0****   0.95764        0.0****  
   59   57.49009        0.0****    596.63077        0.0****   0.15875        0.0****   0.95667        0.0****  
   60   54.22263        0.0****    479.26401        0.0****   0.15964        0.0****   0.96057        0.0****  
   61   61.96936        0.0****    780.39009        0.0****   0.15897        0.0****   0.95329        0.0****  
   62   64.14474        0.0****    985.95745        0.0****      0.16        0.0****   0.95105        0.0****  
   63   57.27817        0.0****    549.81886        0.0****   0.15898        0.0****    0.9564        0.0****  
