                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   171828.56195        0.41275   -0.68398        0.49399  
         royston      135.80183        0.01001                            
   henze-zirkler            1.0            0.0                            
  doornik-hansen      218.53983        0.17544                            
          energy        5.29109           0.21                            
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-------------------------------------------------------------------------------------------------------------
    1     2.1511        0.34111    2.28702         0.3187   0.04229        0.05437   0.99874        0.71592  
    2    2.17381        0.33726    2.12099        0.34629   0.03971        0.08313   0.99866        0.66022  
    3    0.20061        0.90456    0.17345        0.91693   0.02795        0.41173   0.99828        0.42078  
    4    0.79843        0.67085    0.72718        0.69517   0.03894        0.09382   0.99853        0.57538  
    5    2.69327        0.26011    2.95374        0.22835   0.02482        0.56911   0.99731        0.09501  
    6    1.35499        0.50789    1.34903         0.5094   0.04698       0.02342*   0.99781        0.21243  
    7    4.98562        0.08268    4.95611        0.08391   0.02982        0.33125   0.99712        0.06991  
    8     0.4019        0.81795     0.3495        0.83967   0.03323        0.21505   0.99872        0.70337  
    9    2.09699        0.35047    2.27903        0.31997   0.03168        0.26309   0.99706        0.06363  
   10    2.25637        0.32362    2.30017        0.31661   0.02831        0.39533    0.9972        0.07986  
   11    0.35797        0.83612    0.30096         0.8603   0.01558        0.96851   0.99831        0.43588  
   12    4.35722         0.1132     4.7297        0.09396   0.02195        0.72117   0.99764        0.16278  
   13    5.85454        0.05354    5.84879         0.0537   0.02756         0.4301   0.99783         0.2189  
   14     4.5154        0.10459    5.11562        0.07747   0.02316          0.657   0.99761        0.15508  
   15     1.6709        0.43368     1.8116        0.40422   0.03814        0.10624     0.998        0.28212  
   16    0.11188         0.9456    0.05533        0.97271   0.01613        0.95708   0.99871        0.69368  
   17    0.19144        0.90872    0.12182        0.94091   0.02135        0.75216   0.99949        0.99749  
   18    2.78062          0.249    2.66861        0.26334   0.03082        0.29305   0.99761        0.15415  
   19    4.31503        0.11561    4.44743        0.10821   0.02462        0.57938    0.9972        0.07954  
   20    0.62375        0.73207     0.7535        0.68609   0.03367        0.20259   0.99857        0.60164  
