                           t1   p-value (t1)        t2   p-value (t2)  
-----------------------------------------------------------------------
          mardia   173303.594        0.00317   2.93243        0.00336  
         royston   1687.54623            0.0                           
   henze-zirkler          1.0            0.0                           
  doornik-hansen    1439.2044            0.0                           
          energy      5.29655           0.06                           
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-------------------------------------------------------------------------------------------------------------
    1    68.0574        0.0****   29.48648        0.0****   0.08751        0.0****   0.98831        0.0****  
    2   59.90546        0.0****   26.98834        0.0****   0.08993        0.0****   0.98893        0.0****  
    3    6.54142       0.03798*    5.28158         0.0713   0.08635        0.0****    0.9948      0.00163**  
    4     9.0636       0.01076*    7.95073       0.01877*   0.08347        0.0****   0.99271      8e-05****  
    5    6.59835       0.03691*    5.48481        0.06442   0.08358        0.0****   0.99231      5e-05****  
    6   10.48413      0.00529**    9.21794      0.00996**   0.09127        0.0****   0.99185      3e-05****  
    7    5.59903        0.06084    5.02543        0.08105    0.0843        0.0****   0.99494      0.00204**  
    8   13.78334      0.00102**    9.45568      0.00885**   0.08328        0.0****   0.99342     0.00021***  
    9    7.44322        0.0242*    5.84641        0.05376     0.086        0.0****   0.99088      1e-05****  
   10   46.29071        0.0****   22.77377      1e-05****   0.07998      1e-05****   0.98886        0.0****  
   11   11.69726      0.00288**    9.50073      0.00865**   0.08232        0.0****   0.99462      0.00124**  
   12    1.75863        0.41507    1.81825        0.40288   0.09143        0.0****   0.99492      0.00197**  
   13   10.65682      0.00485**    8.50149       0.01425*   0.08877        0.0****   0.99164      2e-05****  
   14    7.03195       0.02972*    5.77906         0.0556   0.07464      3e-05****   0.99616        0.0142*  
   15    7.95644       0.01872*    6.16533       0.04584*   0.08042        0.0****   0.99553      0.00513**  
   16   33.83368        0.0****   18.37764     0.0001****   0.08178        0.0****   0.99172      2e-05****  
   17   26.62914        0.0****   15.55177     0.00042***   0.08995        0.0****   0.99058      1e-05****  
   18   27.91069        0.0****   17.83294     0.00013***   0.07703      1e-05****   0.99295     0.00011***  
   19   46.26743        0.0****   24.77102        0.0****   0.08375        0.0****   0.98757        0.0****  
   20   23.21004      1e-05****   14.97248     0.00056***   0.09701        0.0****   0.99094      1e-05****  
   21   14.46787     0.00072***   10.11007      0.00638**   0.08492        0.0****   0.99296     0.00011***  
   22    4.02397        0.13372    3.55172        0.16934    0.0814        0.0****   0.99588      0.00895**  
   23   10.02227      0.00666**    7.73819       0.02088*   0.09061        0.0****   0.99309     0.00013***  
   24    5.08119        0.07882    4.29519        0.11676   0.08645        0.0****   0.99599       0.01074*  
   25   16.85374     0.00022***   11.13805      0.00381**   0.08466        0.0****   0.99211      4e-05****  
   26     19.906      5e-05****   12.62919      0.00181**   0.08598        0.0****   0.99245      6e-05****  
   27   28.58748        0.0****    22.1305      2e-05****   0.09283        0.0****   0.99148      2e-05****  
   28   12.51336      0.00192**    9.71863      0.00776**   0.10176        0.0****   0.99249      6e-05****  
   29    35.1166        0.0****   19.48026      6e-05****   0.08988        0.0****   0.99223      4e-05****  
   30     8.9846       0.01119*    8.14167       0.01706*   0.09873        0.0****   0.99353     0.00025***  
   31   11.48175      0.00321**    9.34132      0.00937**   0.08622        0.0****   0.99356     0.00026***  
   32   25.24712        0.0****   21.25888      2e-05****   0.09012        0.0****   0.99003        0.0****  
   33    1.01421        0.60224    1.12405        0.57005   0.09769        0.0****   0.99304     0.00012***  
   34   14.31592     0.00078***    9.83493      0.00732**   0.08129        0.0****   0.99272      8e-05****  
   35   14.63561     0.00066***   11.91801      0.00258**   0.09559        0.0****    0.9935     0.00024***  
   36   37.31046        0.0****   24.05778      1e-05****   0.08929        0.0****   0.98926        0.0****  
   37   52.46341        0.0****   24.81503        0.0****   0.08681        0.0****   0.98986        0.0****  
   38    2.79919         0.2467    2.61753        0.27015   0.08444        0.0****   0.99463      0.00126**  
   39   15.86545     0.00036***    11.5655      0.00308**   0.07973      1e-05****   0.99312     0.00014***  
   40   18.42681     0.0001****    16.2326      0.0003***   0.08577        0.0****   0.99238      5e-05****  
   41   29.41003        0.0****   18.87896      8e-05****   0.08738        0.0****   0.99061      1e-05****  
   42   18.90843      8e-05****   12.47862      0.00195**   0.08327        0.0****   0.99242      5e-05****  
   43    3.25346        0.19657     2.9633        0.22726   0.08862        0.0****    0.9954      0.00418**  
   44    8.63491       0.01333*    7.01048       0.03004*   0.08199        0.0****   0.99508      0.00254**  
   45    6.31702       0.04249*    5.62056        0.06019   0.08075        0.0****   0.99553      0.00511**  
   46   14.24078     0.00081***   12.62776      0.00181**   0.08148        0.0****   0.99235      5e-05****  
   47   17.73069     0.00014***   11.85208      0.00267**   0.08482        0.0****   0.99178      2e-05****  
   48    9.67247      0.00794**    7.89421       0.01931*   0.07962      1e-05****   0.99386      0.0004***  
   49   49.99946        0.0****   26.31145        0.0****   0.08969        0.0****   0.98967        0.0****  
   50   11.31169       0.0035**    8.08537       0.01755*   0.09706        0.0****   0.99217      4e-05****  
   51   15.75455     0.00038***   10.55744       0.0051**   0.07363      4e-05****   0.99343     0.00022***  
   52   14.95371     0.00057***   11.15937      0.00377**   0.09328        0.0****   0.99414     0.00061***  
   53    9.32622      0.00944**    7.46938       0.02388*   0.09236        0.0****   0.99335     0.00019***  
   54    7.05732       0.02934*    5.95146        0.05101   0.08821        0.0****   0.99424      0.0007***  
   55   53.18548        0.0****   25.88304        0.0****   0.09772        0.0****   0.98888        0.0****  
   56   20.31573      4e-05****   12.71772      0.00173**   0.08169        0.0****   0.99224      4e-05****  
   57     0.6137        0.73576    0.74256        0.68985   0.08554        0.0****   0.99413      0.0006***  
   58   14.46288     0.00072***   11.23906      0.00363**   0.09467        0.0****    0.9917      2e-05****  
