                             t1   p-value (t1)          t2   p-value (t2)  
---------------------------------------------------------------------------
          mardia   174216.10101      1e-05****   -10.88935        0.0****  
         royston    14755.06848        0.0****                             
   henze-zirkler            1.0        0.0****                             
  doornik-hansen    48430.26019        0.0****                             
          energy        5.37563        0.0****                             
---------------------------------------------------------------------------------------------------------------
  col          jb   p-value (jb)          k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
---------------------------------------------------------------------------------------------------------------
    1   146.85057        0.0****    158.1666        0.0****   0.48064        0.0****    0.7749        0.0****  
    2   128.71783        0.0****   221.63402        0.0****     0.511        0.0****   0.79666        0.0****  
    3   125.91162        0.0****   266.59292        0.0****   0.52011        0.0****   0.80132        0.0****  
    4   132.79178        0.0****   223.89068        0.0****     0.509        0.0****   0.79229        0.0****  
    5   123.51473        0.0****   299.81544        0.0****     0.509        0.0****   0.79886        0.0****  
    6   141.38286        0.0****   147.86174        0.0****     0.483        0.0****   0.78346        0.0****  
    7   132.22111        0.0****     193.488        0.0****     0.498        0.0****   0.79194        0.0****  
    8   132.14855        0.0****   188.40247        0.0****   0.50894        0.0****   0.79528        0.0****  
    9   135.63158        0.0****   187.62839        0.0****   0.48747        0.0****    0.7844        0.0****  
   10    130.3594        0.0****   248.18677        0.0****   0.49726        0.0****   0.78929        0.0****  
   11    126.2348        0.0****   333.32497        0.0****     0.501        0.0****   0.79272        0.0****  
   12   126.84793        0.0****   315.61474        0.0****      0.51        0.0****   0.79527        0.0****  
   13   132.21129        0.0****   179.83843        0.0****    0.5067        0.0****   0.79417        0.0****  
   14    136.7369        0.0****   235.65314        0.0****     0.496        0.0****   0.78206        0.0****  
   15   132.72631        0.0****   190.45461        0.0****   0.51621        0.0****   0.79678        0.0****  
   16    143.0282        0.0****   165.41873        0.0****    0.4863        0.0****   0.77966        0.0****  
   17   135.14933        0.0****   181.05169        0.0****    0.4837        0.0****   0.78439        0.0****  
   18    138.7985        0.0****   169.56382        0.0****     0.496        0.0****   0.78661        0.0****  
   19   132.84429        0.0****   204.39813        0.0****     0.497        0.0****   0.78859        0.0****  
   20   136.40329        0.0****   218.08132        0.0****     0.492        0.0****   0.78335        0.0****  
   21   130.64196        0.0****    223.0142        0.0****   0.50469        0.0****   0.79224        0.0****  
   22   132.48857        0.0****   171.34387        0.0****   0.50545        0.0****   0.79602        0.0****  
   23   126.72376        0.0****   244.84772        0.0****     0.511        0.0****   0.79872        0.0****  
   24    120.8312        0.0****   230.04952        0.0****   0.52758        0.0****   0.80989        0.0****  
   25   123.90202        0.0****   268.24466        0.0****     0.521        0.0****   0.80403        0.0****  
   26   128.99993        0.0****   177.97305        0.0****    0.4987        0.0****   0.79491        0.0****  
   27   120.58333        0.0****   378.11137        0.0****   0.52921        0.0****   0.80721        0.0****  
   28   135.92221        0.0****   219.12527        0.0****     0.496        0.0****   0.78467        0.0****  
   29    134.3547        0.0****   215.87859        0.0****     0.503        0.0****   0.78868        0.0****  
   30    127.7488        0.0****   330.64506        0.0****     0.507        0.0****   0.79299        0.0****  
   31   130.66568        0.0****   205.16568        0.0****   0.50132        0.0****   0.79167        0.0****  
   32   118.36536        0.0****   313.26082        0.0****     0.528        0.0****   0.80936        0.0****  
   33    142.0765        0.0****   192.07873        0.0****      0.49        0.0****   0.77757        0.0****  
   34   130.43072        0.0****   227.73995        0.0****     0.517        0.0****   0.79543        0.0****  
   35   120.47779        0.0****   312.25412        0.0****      0.52        0.0****   0.80578        0.0****  
   36   129.42856        0.0****   211.32192        0.0****     0.507        0.0****   0.79624        0.0****  
   37   133.48557        0.0****   217.47367        0.0****   0.50102        0.0****   0.78975        0.0****  
   38   132.08572        0.0****   224.17805        0.0****   0.50123        0.0****   0.79035        0.0****  
   39   131.43993        0.0****   198.83642        0.0****   0.49711        0.0****   0.79002        0.0****  
   40   129.60248        0.0****   188.33848        0.0****   0.50829        0.0****    0.7979        0.0****  
   41   152.08309        0.0****   139.72993        0.0****     0.476        0.0****    0.7745        0.0****  
   42   128.34559        0.0****   212.78984        0.0****   0.50394        0.0****   0.79576        0.0****  
   43   141.69899        0.0****   150.77986        0.0****     0.487        0.0****   0.78414        0.0****  
   44   138.37612        0.0****   170.90589        0.0****   0.49115        0.0****   0.78539        0.0****  
   45    127.4705        0.0****   335.09224        0.0****   0.51084        0.0****   0.79467        0.0****  
   46   128.75413        0.0****   202.79195        0.0****   0.50432        0.0****   0.79622        0.0****  
   47   134.64531        0.0****   241.63907        0.0****   0.49749        0.0****   0.78522        0.0****  
   48   136.99466        0.0****   165.06177        0.0****    0.4918        0.0****    0.7867        0.0****  
   49   133.50921        0.0****   207.33847        0.0****   0.49663        0.0****   0.78706        0.0****  
   50   137.50165        0.0****   211.51262        0.0****   0.48427        0.0****   0.77932        0.0****  
   51   139.02468        0.0****   180.54989        0.0****   0.49512        0.0****    0.7843        0.0****  
   52   129.90902        0.0****   268.69418        0.0****     0.509        0.0****   0.79302        0.0****  
   53   135.00868        0.0****    190.5346        0.0****     0.493        0.0****   0.78695        0.0****  
   54   132.40711        0.0****   164.98123        0.0****   0.50288        0.0****   0.79527        0.0****  
   55   135.90515        0.0****   186.79089        0.0****     0.508        0.0****   0.79234        0.0****  
   56    138.3372        0.0****   173.58646        0.0****     0.497        0.0****    0.7866        0.0****  
   57   128.61476        0.0****   329.15083        0.0****     0.509        0.0****   0.79276        0.0****  
   58   129.39587        0.0****   312.12114        0.0****   0.49015        0.0****   0.78559        0.0****  
   59   133.23662        0.0****   276.44587        0.0****   0.48927        0.0****   0.78278        0.0****  
   60   133.74817        0.0****   183.84488        0.0****     0.495        0.0****     0.789        0.0****  
   61   133.57641        0.0****   206.49678        0.0****   0.49874        0.0****   0.78844        0.0****  
   62   125.42934        0.0****   310.49378        0.0****     0.511        0.0****   0.79652        0.0****  
   63   133.68359        0.0****    161.6089        0.0****     0.488        0.0****   0.79005        0.0****  
   64   129.67559        0.0****   268.78776        0.0****     0.502        0.0****    0.7909        0.0****  
   65   140.39579        0.0****   161.33158        0.0****    0.4845        0.0****    0.7815        0.0****  
   66   133.49578        0.0****   230.24142        0.0****     0.499        0.0****   0.78744        0.0****  
   67    146.9134        0.0****   148.24809        0.0****     0.474        0.0****   0.77498        0.0****  
   68   141.96187        0.0****   196.81062        0.0****   0.48345        0.0****   0.77554        0.0****  
   69   126.98402        0.0****   242.22007        0.0****     0.507        0.0****   0.79687        0.0****  
   70   128.08501        0.0****   211.01983        0.0****     0.507        0.0****   0.79764        0.0****  
   71   140.75515        0.0****   178.12047        0.0****   0.49837        0.0****   0.78355        0.0****  
   72   141.52437        0.0****   165.24952        0.0****    0.4947        0.0****   0.78356        0.0****  
   73    131.6808        0.0****   293.54189        0.0****   0.49766        0.0****   0.78615        0.0****  
   74   126.42211        0.0****   295.54614        0.0****      0.51        0.0****   0.79646        0.0****  
   75   135.52673        0.0****   166.93205        0.0****     0.504        0.0****   0.79266        0.0****  
   76   129.81356        0.0****   203.68469        0.0****     0.503        0.0****   0.79457        0.0****  
   77   132.11771        0.0****   236.22319        0.0****     0.497        0.0****   0.78762        0.0****  
   78   131.41607        0.0****   199.76352        0.0****     0.496        0.0****   0.78982        0.0****  
   79   140.24617        0.0****   149.20936        0.0****     0.494        0.0****   0.78743        0.0****  
   80   130.44342        0.0****   194.46343        0.0****   0.50692        0.0****   0.79552        0.0****  
   81   130.70934        0.0****   265.67098        0.0****   0.50493        0.0****   0.79082        0.0****  
   82   146.78083        0.0****   161.32558        0.0****     0.478        0.0****   0.77317        0.0****  
   83   130.17079        0.0****   218.11152        0.0****   0.50119        0.0****   0.79253        0.0****  
   84   132.16264        0.0****   236.33149        0.0****   0.49982        0.0****   0.78812        0.0****  
   85   139.34874        0.0****   180.92013        0.0****   0.48907        0.0****   0.78219        0.0****  
   86   139.29346        0.0****   244.23182        0.0****      0.49        0.0****   0.77736        0.0****  
   87   127.69282        0.0****   190.32266        0.0****   0.51656        0.0****   0.80172        0.0****  
   88    127.2512        0.0****   249.09844        0.0****      0.52        0.0****   0.79996        0.0****  
   89   127.84812        0.0****   218.03701        0.0****   0.51884        0.0****   0.80089        0.0****  
   90   123.31337        0.0****   318.83445        0.0****     0.525        0.0****   0.80442        0.0****  
   91   132.06026        0.0****   225.48721        0.0****   0.49831        0.0****   0.78991        0.0****  
   92   127.13318        0.0****   242.74117        0.0****   0.51465        0.0****   0.79816        0.0****  
   93   130.97816        0.0****   212.82684        0.0****     0.507        0.0****   0.79485        0.0****  
   94   135.02837        0.0****   189.56519        0.0****     0.491        0.0****    0.7867        0.0****  
   95   134.10216        0.0****   222.16623        0.0****     0.496        0.0****   0.78616        0.0****  
   96   128.84663        0.0****    170.7098        0.0****   0.51696        0.0****   0.80232        0.0****  
   97   131.35561        0.0****   186.82238        0.0****   0.51004        0.0****   0.79641        0.0****  
   98   140.41611        0.0****    149.4983        0.0****   0.48707        0.0****   0.78556        0.0****  
   99   136.66599        0.0****   190.03465        0.0****     0.494        0.0****   0.78581        0.0****  
  100    135.3233        0.0****   156.88042        0.0****   0.50837        0.0****   0.79564        0.0****  
---------------------------------------------------------------------------------------------------------------
