                             t1   p-value (t1)         t2   p-value (t2)  
--------------------------------------------------------------------------
          mardia   170982.06069        0.88985   -2.98732      0.00281**  
         royston      104.72197        0.35354                            
   henze-zirkler            1.0            1.0                            
  doornik-hansen      190.58107        0.67187                            
          energy        5.28775           0.54                            
-----------------------------------------------------------------------------------------------------------
  col        jb   p-value (jb)        k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-----------------------------------------------------------------------------------------------------------
    1   2.23037        0.32785   2.26858        0.32165   0.03788        0.11061   0.99893        0.83278  
    2    0.6573         0.7199   0.57592        0.74979   0.03542        0.15885   0.99911        0.92496  
    3   5.06015        0.07965   5.04434        0.08029   0.03037        0.30965   0.99738        0.10622  
    4   0.32677        0.84927   0.33507        0.84575      0.02        0.81873   0.99951        0.99817  
    5   1.42831         0.4896   1.35283        0.50844   0.03356        0.20568   0.99781        0.21154  
    6   2.62682         0.2689   2.85622        0.23976   0.02591        0.51301   0.99862        0.63445  
    7   0.58591        0.74605   0.49984        0.77886    0.0223         0.7027   0.99898        0.86254  
    8   0.14432        0.93038   0.14478        0.93017   0.01959        0.83733   0.99864        0.64649  
    9   5.43447        0.06606   5.89548        0.05246   0.03085        0.29204   0.99633       0.01893*  
   10   1.06455        0.58727    1.1079        0.57468     0.038        0.10862   0.99846        0.52607  
   11   3.47618        0.17586   3.46789        0.17659   0.02112        0.76369   0.99792         0.2507  
   12   0.22105        0.89536   0.24612        0.88421   0.01968        0.83362   0.99843        0.51008  
   13   1.24485        0.53664   1.34704        0.50991   0.01888        0.86815   0.99826        0.40758  
   14   2.13606        0.34368   2.10177        0.34963   0.02335        0.64689   0.99856         0.5958  
   15   6.72433       0.03466*   6.03947       0.04881*   0.02614        0.50154   0.99738        0.10655  
   16   1.43334        0.48838   1.54562        0.46171   0.01098        0.99974   0.99838        0.48111  
   17   2.05656        0.35762   2.17776        0.33659    0.0374        0.11881   0.99753         0.1369  
   18    1.1644        0.55867   1.12116        0.57088   0.03091        0.29004   0.99858        0.60907  
   19   2.50375        0.28597   2.91146        0.23323   0.01934        0.84876   0.99807         0.3138  
   20   6.24724         0.044*   8.95521       0.01136*   0.02942        0.34751   0.99663       0.03086*  
   21   1.65067        0.43809   1.77395         0.4119    0.0349        0.17104   0.99815        0.35126  
   22   1.83997        0.39853   2.00418        0.36711   0.03215        0.24763   0.99875        0.71956  
   23   2.33964        0.31042   2.62871        0.26865   0.02044         0.7974   0.99729        0.09275  
   24   1.79961        0.40665   1.74362        0.41819    0.0169        0.93749   0.99872        0.70074  
   25   0.54655        0.76088   0.45815        0.79527   0.04174        0.05957   0.99826        0.40866  
   26   2.97664        0.22575   2.81758        0.24444   0.01766         0.9141   0.99844        0.51648  
   27   0.56253        0.75483   0.47962        0.78678   0.02654        0.48023   0.99868        0.67502  
   28   1.24498        0.53661   1.19589        0.54994   0.02006        0.81561   0.99842        0.50276  
   29   1.68122        0.43145   1.79064        0.40848   0.01935        0.84806    0.9986        0.62143  
   30   0.93851        0.62547   0.88906        0.64113   0.01662        0.94527   0.99884        0.78043  
   31   0.60818        0.73779   0.58412        0.74672   0.02615        0.50094   0.99891        0.82048  
   32   3.91828        0.14098   4.01538         0.1343   0.04601       0.02807*   0.99759        0.15032  
   33   0.41612        0.81216   0.47356        0.78917    0.0366        0.13394    0.9988        0.75774  
   34   3.12604         0.2095   3.27332        0.19463   0.02565        0.52638   0.99838        0.47774  
   35   3.19307         0.2026   3.66709        0.15985   0.02869        0.37805   0.99768        0.17308  
   36   0.83162        0.65981   0.87672        0.64509   0.02485        0.56738     0.998        0.28336  
   37   3.04266        0.21842   3.46235        0.17708   0.03432        0.18539   0.99792        0.25046  
   38   0.31574        0.85396   0.26329        0.87665   0.02425        0.59897   0.99918        0.94765  
   39   1.69102        0.42934   1.81071         0.4044   0.02823        0.39882    0.9981        0.32549  
   40   0.39495         0.8208   0.35711        0.83648   0.02429        0.59686   0.99836        0.46411  
   41   10.0112       0.0067**   9.02263       0.01098*   0.02573        0.52224   0.99693        0.05098  
   42   1.82242        0.40204   1.90054        0.38664   0.02392        0.61621   0.99827        0.41677  
   43   1.15577        0.56108     1.075        0.58421   0.01879        0.87184   0.99864        0.64496  
   44    2.0697        0.35528   2.03935        0.36071   0.02082        0.77895    0.9965       0.02489*  
   45   0.33316        0.84655   0.24611        0.88422   0.03958        0.08485   0.99857        0.60421  
   46    2.7495         0.2529   3.26634        0.19531   0.02485        0.56715   0.99785        0.22372  
   47   0.38325        0.82562    0.3211        0.85167   0.01794        0.90452   0.99831        0.43532  
   48   2.07931        0.35358   2.05558         0.3578   0.02419        0.60183    0.9982        0.37528  
   49   0.06214        0.96941   0.03748        0.98144    0.0206        0.78984   0.99951        0.99817  
   50   3.98323        0.13647   4.09262        0.12921   0.05187      0.00888**   0.99705        0.06248  
   51    0.5416        0.76277   0.50774        0.77579   0.03553        0.15635   0.99827         0.4118  
   52   1.44247        0.48615   1.36563        0.50519   0.03432        0.18541   0.99803        0.29347  
   53   0.38949        0.82305   0.49833        0.77945   0.01084         0.9998   0.99935        0.98659  
   54   0.76677        0.68155   0.69177        0.70759   0.02811        0.40398   0.99905        0.89935  
   55    0.0698         0.9657   0.13623        0.93415   0.02623         0.4962   0.99794          0.257  
