                             t1   p-value (t1)          t2   p-value (t2)  
---------------------------------------------------------------------------
          mardia   166133.40526            1.0   -13.48694        0.0****  
         royston     7070.97306        0.0****                             
   henze-zirkler            1.0        0.0****                             
  doornik-hansen      9018.5128        0.0****                             
          energy        5.28679           0.56                             
---------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)           k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
---------------------------------------------------------------------------------------------------------------
    1   60.10824        0.0****     735.3125        0.0****   0.15936        0.0****   0.95389        0.0****  
    2   62.57585        0.0****    911.26803        0.0****   0.15901        0.0****   0.95153        0.0****  
    3   65.41401        0.0****    1111.0168        0.0****   0.15919        0.0****   0.94874        0.0****  
    4   65.10584        0.0****   1133.27102        0.0****   0.15908        0.0****   0.95026        0.0****  
    5   60.68434        0.0****    766.00829        0.0****   0.15884        0.0****   0.95389        0.0****  
    6   57.60858        0.0****    608.01092        0.0****   0.16156        0.0****   0.95651        0.0****  
    7   54.32048        0.0****     474.1046        0.0****    0.1591        0.0****    0.9607        0.0****  
    8   57.62016        0.0****    599.99248        0.0****   0.15877        0.0****   0.95757        0.0****  
    9   56.53076        0.0****    560.85109        0.0****   0.15975        0.0****   0.95821        0.0****  
   10   57.96122        0.0****    619.32665        0.0****   0.16139        0.0****   0.95612        0.0****  
   11   57.49181        0.0****    604.32244        0.0****   0.16078        0.0****   0.95651        0.0****  
   12   62.48484        0.0****    900.72892        0.0****   0.15961        0.0****    0.9526        0.0****  
   13    57.9548        0.0****    622.59831        0.0****   0.15947        0.0****   0.95562        0.0****  
   14   64.58135        0.0****   1082.95755        0.0****   0.15954        0.0****   0.94961        0.0****  
   15   61.53959        0.0****    809.56301        0.0****   0.15977        0.0****   0.95281        0.0****  
   16   61.39125        0.0****    774.87479        0.0****    0.1613        0.0****    0.9536        0.0****  
   17   57.20602        0.0****    570.87792        0.0****   0.16188        0.0****    0.9586        0.0****  
   18   63.07932        0.0****    937.21179        0.0****   0.15962        0.0****   0.95183        0.0****  
   19   58.18578        0.0****    631.90508        0.0****   0.15926        0.0****   0.95441        0.0****  
   20   59.08217        0.0****    682.98657        0.0****   0.15953        0.0****   0.95562        0.0****  
   21   62.25496        0.0****    885.32295        0.0****   0.15897        0.0****   0.95307        0.0****  
   22    60.8771        0.0****    788.18224        0.0****   0.15946        0.0****   0.95389        0.0****  
   23   58.95483        0.0****    676.91894        0.0****   0.15919        0.0****   0.95556        0.0****  
   24   56.28866        0.0****     509.2684        0.0****   0.15892        0.0****   0.95828        0.0****  
   25   59.08912        0.0****    683.70016        0.0****   0.16247        0.0****   0.95527        0.0****  
   26   57.65713        0.0****    611.44692        0.0****   0.15935        0.0****   0.95587        0.0****  
   27    62.0456        0.0****    865.31363        0.0****   0.15988        0.0****   0.95245        0.0****  
   28   69.81084        0.0****   1968.95936        0.0****   0.15891        0.0****   0.94393        0.0****  
   29   65.14215        0.0****   1153.97674        0.0****   0.15949        0.0****   0.94963        0.0****  
   30   61.84012        0.0****    802.37367        0.0****   0.15896        0.0****   0.95336        0.0****  
   31    58.4977        0.0****    647.43204        0.0****   0.15966        0.0****   0.95726        0.0****  
   32   52.78808        0.0****    427.11043        0.0****   0.15879        0.0****   0.95991        0.0****  
   33   62.09245        0.0****    807.98004        0.0****   0.15873        0.0****   0.95116        0.0****  
   34   58.52213        0.0****    649.08759        0.0****   0.15936        0.0****    0.9536        0.0****  
   35   57.21955        0.0****    590.06922        0.0****   0.16219        0.0****   0.95721        0.0****  
   36   58.86644        0.0****     672.2062        0.0****   0.15943        0.0****   0.95572        0.0****  
   37    59.9633        0.0****    730.49472        0.0****   0.16036        0.0****   0.95419        0.0****  
   38   63.32032        0.0****    954.99912        0.0****   0.16052        0.0****   0.95207        0.0****  
