                             t1   p-value (t1)        t2   p-value (t2)  
-------------------------------------------------------------------------
          mardia   173575.88409     0.00071***   3.26586      0.00109**  
         royston     1647.70428        0.0****                           
   henze-zirkler            1.0            1.0                           
  doornik-hansen     1494.63828        0.0****                           
          energy        5.30197        0.0****                           
-------------------------------------------------------------------------------------------------------------
  col         jb   p-value (jb)         k2   p-value (k2)        ks   p-value (ks)        sw   p-value (sw)  
-------------------------------------------------------------------------------------------------------------
    1   21.75586      2e-05****   13.96401     0.00093***   0.09336        0.0****   0.99105      1e-05****  
    2    4.30071        0.11644     3.7395        0.15416   0.08334        0.0****   0.99454       0.0011**  
    3   12.27138      0.00216**    8.75722       0.01254*   0.07919      1e-05****   0.99295     0.00011***  
    4     4.7866        0.09133    4.13503         0.1265   0.09044        0.0****    0.9935     0.00024***  
    5    8.99684       0.01113*    7.82338       0.02001*   0.09484        0.0****   0.99325     0.00017***  
    6    8.95338       0.01137*    8.60625       0.01353*   0.08312        0.0****   0.99489      0.00188**  
    7    5.38301        0.06778    4.75646        0.09271   0.07984      1e-05****   0.99671       0.03521*  
    8   14.31337     0.00078***    9.69403      0.00785**   0.07999      1e-05****    0.9938     0.00037***  
    9    22.0291      2e-05****   16.47383     0.00026***   0.07671      1e-05****   0.99236      5e-05****  
   10   13.41439      0.00122**    9.40778      0.00906**   0.08424        0.0****   0.99214      4e-05****  
   11   24.38807      1e-05****   16.64028     0.00024***   0.08519        0.0****   0.98956        0.0****  
   12   18.41694     0.0001****   12.59193      0.00184**   0.07888      1e-05****    0.9917      2e-05****  
   13   33.95723        0.0****    18.2985     0.00011***   0.08772        0.0****   0.99051        0.0****  
   14   21.90033      2e-05****   14.61624     0.00067***   0.08454        0.0****      0.99        0.0****  
   15   24.27559      1e-05****   14.35881     0.00076***   0.09393        0.0****   0.98983        0.0****  
   16   20.52128      3e-05****   12.76814      0.00169**   0.08557        0.0****   0.99368     0.00031***  
   17   32.52471        0.0****   18.34325     0.0001****   0.08325        0.0****   0.99218      4e-05****  
   18   12.02138      0.00245**    8.65617       0.01319*   0.08795        0.0****   0.99411     0.00058***  
   19     3.1319        0.20889    2.96496        0.22707    0.0863        0.0****   0.99532       0.0037**  
