----------------------------------------------------------------------------------------------
                       conducted   inconclusive        (i-rate)     conclusive      (c-rate)  
----------------------------------------------------------------------------------------------
    multivariate               6              5        0.833333              1      0.166667  
      univariate             400            359          0.8975             41        0.1025  
                       - - - - -      - - - - -       - - - - -      - - - - -     - - - - -  
           total             406            364        0.896552             42      0.103448  
----------------------------------------------------------------------------------------------
               -              t1   p-value (t1)              t2   p-value (t2)                
----------------------------------------------------------------------------------------------
          mardia   173575.884086     0.00071***        3.265856     0.001091**                
         royston     1647.704284        0.0****                                               
   henze-zirkler             1.0            1.0                                               
  doornik-hansen     1494.638282        0.0****                                               
          energy         5.30197        0.0****                                               
----------------------------------------------------------------------------------------------------------------------------------------------
             col              jb   p-value (jb)              k2   p-value (k2)              ks   p-value (ks)              sw   p-value (sw)  
----------------------------------------------------------------------------------------------------------------------------------------------
               1       21.755859    1.9e-05****       13.964005    0.000928***         0.09336        0.0****        0.991047      9e-06****  
               2        4.300713       0.116443        3.739498       0.154162        0.083343      2e-06****        0.994539     0.001097**  
               3       12.271383     0.002164**        8.757216      0.012543*        0.079192      7e-06****         0.99295     0.00011***  
               4        4.786598       0.091328        4.135028         0.1265        0.090441        0.0****        0.993496    0.000237***  
               5        8.996842      0.011127*        7.823379      0.020007*         0.09484        0.0****        0.993255    0.000168***  
               6        8.953381      0.011371*        8.606246      0.013526*        0.083124      2e-06****        0.994892     0.001884**  
               7         5.38301       0.067779        4.756465       0.092714        0.079845      5e-06****        0.996708      0.035208*  
               8       14.313372     0.00078***        9.694027     0.007852**        0.079988      5e-06****        0.993803    0.000368***  
               9       22.029103    1.6e-05****       16.473832    0.000265***        0.076709    1.5e-05****        0.992356    4.9e-05****  
              10       13.414392     0.001222**        9.407775      0.00906**        0.084242      1e-06****        0.992136    3.7e-05****  
              11        24.38807      5e-06****       16.640275    0.000244***        0.085193      1e-06****        0.989557      2e-06****  
              12       18.416942     0.0001****       12.591926     0.001844**        0.078881      7e-06****        0.991699    2.1e-05****  
              13       33.957228        0.0****       18.298498    0.000106***        0.087722        0.0****        0.990508      5e-06****  
              14       21.900328    1.8e-05****       14.616244     0.00067***         0.08454      1e-06****        0.989999      3e-06****  
              15       24.275593      5e-06****        14.35881    0.000762***         0.09393        0.0****         0.98983      2e-06****  
              16       20.521284    3.5e-05****       12.768144     0.001688**        0.085571      1e-06****        0.993682    0.000309***  
              17       32.524714        0.0****       18.343255    0.000104***        0.083252      2e-06****        0.992179    3.9e-05****  
              18       12.021383     0.002452**        8.656172      0.013193*        0.087952        0.0****        0.994109    0.000577***  
              19          3.1319       0.208889        2.964965       0.227073        0.086301      1e-06****        0.995324       0.0037**  
              20        1.574803       0.455026        1.714055       0.424422        0.071353    7.1e-05****        0.997004       0.057567  
              21       40.691852        0.0****       21.593786      2e-05****        0.081303      3e-06****        0.988555        0.0****  
              22        5.982983       0.050212        4.884444       0.086967        0.075116    2.4e-05****        0.995659     0.006317**  
              23        2.028335       0.362704         2.10605       0.348881         0.08168      3e-06****        0.995456     0.004562**  
              24         7.78681      0.020376*         6.09909       0.04738*        0.089872        0.0****        0.994956      0.00208**  
              25        6.660108      0.035791*        5.921592       0.051778        0.088644        0.0****        0.993733    0.000332***  
              26       37.616643        0.0****       19.656344    5.4e-05****        0.076411    1.6e-05****        0.992018    3.1e-05****  
              27       20.571472    3.4e-05****       16.822178    0.000222***        0.091362        0.0****        0.990429      4e-06****  
              28        6.171612      0.045693*        5.055966        0.07982        0.079066      7e-06****        0.994838     0.001732**  
              29         4.02417        0.13371        3.813998       0.148525        0.087026        0.0****        0.994843     0.001747**  
              30        3.828156       0.147478        3.418693       0.180984          0.0833      2e-06****         0.99607      0.012292*  
              31       58.789424        0.0****       27.423902      1e-06****        0.072465    5.2e-05****        0.986206        0.0****  
              32       12.450456     0.001979**        9.988193     0.006778**        0.086792      1e-06****        0.993674    0.000306***  
              33       10.648259     0.004873**        8.118253      0.017264*        0.084076      1e-06****        0.992346    4.8e-05****  
              34       12.906689     0.001575**       12.121818     0.002332**        0.091905        0.0****        0.992341    4.8e-05****  
              35       11.394473     0.003355**       10.292137     0.005822**        0.082433      2e-06****        0.992785    8.8e-05****  
              36       18.094678    0.000118***       12.218616     0.002222**        0.095616        0.0****        0.991419    1.4e-05****  
              37        8.573236      0.013751*         7.57736      0.022625*        0.089361        0.0****        0.992413    5.3e-05****  
              38       15.406564    0.000451***       11.784118     0.002761**        0.077059    1.3e-05****        0.993268    0.000171***  
              39        24.72391      4e-06****       17.430278    0.000164***        0.091094        0.0****        0.992578    6.6e-05****  
              40       16.567523    0.000253***       11.022678     0.004041**        0.088439        0.0****        0.993209    0.000158***  
              41       23.223059      9e-06****       19.475383    5.9e-05****        0.095674        0.0****        0.990678      6e-06****  
              42       20.969049    2.8e-05****       12.917817     0.001567**         0.08205      3e-06****        0.993027    0.000122***  
              43       21.689406      2e-05****       15.340849    0.000466***        0.076939    1.4e-05****        0.992687    7.7e-05****  
              44        8.648291      0.013245*         7.00895      0.030063*         0.08416      1e-06****        0.993619    0.000282***  
              45       10.254333     0.005933**        8.036176      0.017987*        0.080887      4e-06****        0.993113    0.000138***  
              46        4.863553       0.087881        4.124656       0.127158        0.082817      2e-06****        0.994438    0.000942***  
              47       14.574911    0.000684***       10.044116     0.006591**        0.079046      7e-06****        0.992337    4.8e-05****  
              48       45.837828        0.0****       23.202493      9e-06****        0.083987      1e-06****        0.988281        0.0****  
              49       14.397607    0.000747***       10.734925     0.004666**        0.096385        0.0****        0.992562    6.5e-05****  
              50       11.274498     0.003563**        8.259467      0.016087*        0.079402      6e-06****        0.994497      0.00103**  
              51       36.308922        0.0****        20.77833    3.1e-05****        0.081747      3e-06****        0.991797    2.3e-05****  
              52        8.132995      0.017137*         7.94272      0.018848*        0.075576    2.1e-05****        0.992697    7.8e-05****  
              53       10.852788     0.004399**        8.580639      0.013701*        0.081203      3e-06****        0.994472    0.000992***  
              54       30.788159        0.0****       17.051648    0.000198***        0.079137      7e-06****        0.991186    1.1e-05****  
              55       28.489958      1e-06****        18.42584     0.0001****        0.086271      1e-06****        0.986843        0.0****  
              56       16.354841    0.000281***       10.782719     0.004556**        0.074008    3.3e-05****         0.99379    0.000361***  
              57        5.462911       0.065124        4.593483       0.100586        0.077804      1e-05****        0.993934    0.000446***  
              58       27.138885      1e-06****        18.71027    8.7e-05****        0.092088        0.0****         0.99096      8e-06****  
              59        7.575161       0.02265*        6.077018      0.047906*        0.072077    5.8e-05****        0.993748     0.00034***  
              60        0.868517       0.647745        0.989841       0.609619          0.0842      1e-06****        0.995863      0.00878**  
              61       12.454593     0.001975**         11.9228     0.002576**        0.077269    1.2e-05****        0.993915    0.000433***  
              62        3.530459       0.171147        3.209194       0.200971        0.090328        0.0****         0.99568     0.006526**  
              63       24.931541      4e-06****       19.538131    5.7e-05****        0.084585      1e-06****        0.991784    2.3e-05****  
              64       17.293348    0.000176***       11.259365      0.00359**        0.089699        0.0****        0.992954    0.000111***  
              65       27.748482      1e-06****       16.025821    0.000331***         0.08834        0.0****        0.992892    0.000101***  
              66        5.139499       0.076555        4.536681       0.103484        0.093952        0.0****        0.992876    9.9e-05****  
              67        15.84482    0.000363***        10.55461     0.005106**        0.086502      1e-06****        0.992378    5.1e-05****  
              68       11.892367     0.002616**        8.625407      0.013397*        0.089073        0.0****         0.99262      7e-05****  
              69       19.109452    7.1e-05****       14.751997    0.000626***        0.106203        0.0****        0.992042    3.2e-05****  
              70       17.988057    0.000124***       11.747635     0.002812**        0.090258        0.0****        0.994816     0.001676**  
              71       25.883327      2e-06****       15.054712    0.000538***         0.07475    2.6e-05****        0.991709    2.1e-05****  
              72       39.282262        0.0****       20.493337    3.5e-05****         0.08789        0.0****        0.990258      3e-06****  
              73       44.848241        0.0****       22.101463    1.6e-05****        0.097898        0.0****        0.989015      1e-06****  
              74       22.663686    1.2e-05****       14.193327    0.000828***        0.093524        0.0****        0.991319    1.3e-05****  
              75        16.68557    0.000238***       10.889129      0.00432**        0.077578    1.1e-05****        0.993075    0.000131***  
              76       28.830075      1e-06****       17.080547    0.000195***        0.077889      1e-05****        0.991258    1.2e-05****  
              77       20.566146    3.4e-05****       14.524785    0.000701***        0.083361      2e-06****        0.993043    0.000125***  
              78       41.813741        0.0****       21.198716    2.5e-05****        0.095579        0.0****        0.990435      4e-06****  
              79        3.312615       0.190842        3.261846       0.195749        0.085899      1e-06****        0.996001      0.010975*  
              80       18.969651    7.6e-05****       12.064845       0.0024**        0.087951        0.0****        0.993309    0.000182***  
              81       20.441239    3.6e-05****       13.595925     0.001116**        0.087122        0.0****        0.992793    8.9e-05****  
              82       10.851449     0.004402**        7.824203      0.019998*        0.090474        0.0****        0.994042    0.000522***  
              83        5.910585       0.052063        5.140957       0.076499        0.076268    1.7e-05****        0.994478     0.001001**  
              84       12.741983      0.00171**       10.371797     0.005595**        0.080505      4e-06****        0.995096     0.002586**  
              85       40.001442        0.0****       20.512303    3.5e-05****        0.080081      5e-06****         0.98934      1e-06****  
              86        7.152924      0.027974*        6.219773      0.044606*        0.087648        0.0****        0.992172    3.8e-05****  
              87       77.075496        0.0****       32.086796        0.0****        0.085386      1e-06****        0.989202      1e-06****  
              88         5.60474       0.060666        5.646237        0.05942        0.095555        0.0****        0.993805    0.000369***  
              89       23.529283      8e-06****       14.540845    0.000696***        0.090258        0.0****         0.99101      9e-06****  
              90        4.230985       0.120574        3.962888        0.13787        0.087932        0.0****        0.994574     0.001157**  
              91       26.688668      2e-06****       17.220972    0.000182***        0.086022      1e-06****        0.992114    3.6e-05****  
              92       56.852286        0.0****       28.692687      1e-06****        0.089039        0.0****        0.987376        0.0****  
              93        8.230522      0.016322*        6.394028      0.040884*        0.097713        0.0****        0.992398    5.2e-05****  
              94        5.644845       0.059462        4.778442       0.091701        0.082755      2e-06****        0.994844     0.001748**  
              95       25.236851      3e-06****       16.452145    0.000268***        0.094028        0.0****        0.991267    1.2e-05****  
              96       14.048813     0.00089***        9.603622     0.008215**        0.087433        0.0****        0.992238    4.2e-05****  
              97        9.783056      0.00751**        7.268552      0.026403*        0.091945        0.0****        0.994912     0.001943**  
              98       16.474615    0.000265***       11.695589     0.002886**        0.079985      5e-06****         0.99282    9.2e-05****  
              99       14.375478    0.000756***       11.564992     0.003081**        0.086947      1e-06****        0.992519    6.1e-05****  
             100       44.253818        0.0****       27.516813      1e-06****        0.097005        0.0****         0.98944      1e-06****  
----------------------------------------------------------------------------------------------------------------------------------------------
