----------------------------------------------------------------------------------------------
                       conducted   inconclusive        (i-rate)     conclusive      (c-rate)  
----------------------------------------------------------------------------------------------
    multivariate               6              4        0.666667              2      0.333333  
      univariate             400            400             1.0              0           0.0  
                       - - - - -      - - - - -       - - - - -      - - - - -     - - - - -  
           total             406            404        0.995074              2      0.004926  
----------------------------------------------------------------------------------------------
               -              t1   p-value (t1)              t2   p-value (t2)                
----------------------------------------------------------------------------------------------
          mardia   166133.405262            1.0      -13.486944        0.0****                
         royston     7070.973063        0.0****                                               
   henze-zirkler             1.0        0.0****                                               
  doornik-hansen     9018.512799        0.0****                                               
          energy        5.286786            0.6                                               
----------------------------------------------------------------------------------------------------------------------------------------------
             col              jb   p-value (jb)              k2   p-value (k2)              ks   p-value (ks)              sw   p-value (sw)  
----------------------------------------------------------------------------------------------------------------------------------------------
               1       60.108237        0.0****      735.312505        0.0****         0.15936        0.0****        0.953894        0.0****  
               2       62.575853        0.0****      911.268031        0.0****        0.159006        0.0****        0.951531        0.0****  
               3       65.414011        0.0****       1111.0168        0.0****        0.159192        0.0****        0.948736        0.0****  
               4        65.10584        0.0****     1133.271017        0.0****        0.159082        0.0****        0.950261        0.0****  
               5       60.684345        0.0****      766.008291        0.0****         0.15884        0.0****        0.953892        0.0****  
               6       57.608585        0.0****      608.010924        0.0****        0.161563        0.0****        0.956505        0.0****  
               7       54.320481        0.0****      474.104599        0.0****        0.159103        0.0****        0.960702        0.0****  
               8       57.620163        0.0****      599.992481        0.0****        0.158772        0.0****        0.957574        0.0****  
               9       56.530756        0.0****      560.851085        0.0****        0.159749        0.0****        0.958211        0.0****  
              10       57.961218        0.0****      619.326654        0.0****        0.161393        0.0****        0.956117        0.0****  
              11       57.491814        0.0****      604.322436        0.0****        0.160778        0.0****         0.95651        0.0****  
              12       62.484837        0.0****      900.728921        0.0****        0.159609        0.0****        0.952601        0.0****  
              13       57.954802        0.0****      622.598315        0.0****        0.159468        0.0****        0.955619        0.0****  
              14       64.581349        0.0****     1082.957554        0.0****         0.15954        0.0****        0.949608        0.0****  
              15       61.539595        0.0****      809.563009        0.0****        0.159768        0.0****        0.952812        0.0****  
              16       61.391253        0.0****       774.87479        0.0****        0.161304        0.0****        0.953599        0.0****  
              17        57.20602        0.0****      570.877923        0.0****        0.161881        0.0****          0.9586        0.0****  
              18        63.07932        0.0****      937.211791        0.0****        0.159621        0.0****        0.951834        0.0****  
              19       58.185775        0.0****      631.905084        0.0****        0.159256        0.0****        0.954405        0.0****  
              20       59.082169        0.0****      682.986575        0.0****        0.159525        0.0****        0.955623        0.0****  
              21       62.254955        0.0****      885.322955        0.0****        0.158969        0.0****        0.953067        0.0****  
              22       60.877102        0.0****      788.182242        0.0****        0.159463        0.0****        0.953885        0.0****  
              23       58.954832        0.0****       676.91894        0.0****        0.159193        0.0****        0.955564        0.0****  
              24       56.288661        0.0****      509.268405        0.0****        0.158916        0.0****        0.958283        0.0****  
              25       59.089125        0.0****      683.700158        0.0****        0.162473        0.0****        0.955269        0.0****  
              26        57.65713        0.0****      611.446918        0.0****        0.159353        0.0****        0.955872        0.0****  
              27       62.045601        0.0****      865.313634        0.0****        0.159882        0.0****        0.952454        0.0****  
              28       69.810836        0.0****     1968.959364        0.0****        0.158911        0.0****        0.943932        0.0****  
              29       65.142154        0.0****     1153.976742        0.0****        0.159491        0.0****        0.949631        0.0****  
              30       61.840122        0.0****      802.373667        0.0****        0.158957        0.0****        0.953358        0.0****  
